epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13571.4,1.81749,1.33419,1.57317,0.77266,0.66781,0.73105,0.326,1.90988,1.25893,1.61148,0.007228,0.007228,0.007228
44,13884.4,1.80493,1.33508,1.57569,0.74952,0.66731,0.72597,0.32144,1.87837,1.2506,1.60788,0.007162,0.007162,0.007162
45,14200.2,1.8027,1.33749,1.57938,0.76646,0.67288,0.73282,0.31422,1.9081,1.25147,1.61013,0.007096,0.007096,0.007096
46,14515.5,1.78747,1.34145,1.56342,0.78813,0.68704,0.74096,0.31851,1.93978,1.23232,1.63919,0.00703,0.00703,0.00703
47,14831.6,1.78123,1.31214,1.57019,0.76683,0.69592,0.74375,0.32954,1.89608,1.22271,1.60523,0.006964,0.006964,0.006964
48,15145.6,1.77698,1.29829,1.56294,0.81311,0.68323,0.76368,0.33069,1.8963,1.257,1.60475,0.006898,0.006898,0.006898
49,15458.6,1.76689,1.29555,1.54958,0.77313,0.70503,0.75132,0.32979,1.92263,1.20749,1.61453,0.006832,0.006832,0.006832
50,15773.2,1.76439,1.29665,1.54986,0.78493,0.70638,0.7563,0.33235,1.88744,1.21156,1.60303,0.006766,0.006766,0.006766
51,16087.5,1.75621,1.27119,1.55312,0.79813,0.70966,0.76173,0.3368,1.87616,1.19739,1.59666,0.0067,0.0067,0.0067
52,16401.4,1.76017,1.26972,1.54563,0.79602,0.71103,0.76514,0.33527,1.90205,1.21418,1.60652,0.006634,0.006634,0.006634
53,16715.4,1.74315,1.27021,1.54234,0.78912,0.71235,0.7696,0.33864,1.88706,1.19215,1.60278,0.006568,0.006568,0.006568
54,17032.9,1.7357,1.2642,1.53461,0.7988,0.6983,0.76237,0.34068,1.86373,1.19724,1.59191,0.006502,0.006502,0.006502
55,17346.3,1.74186,1.24321,1.54608,0.7782,0.71004,0.76841,0.33962,1.87644,1.18698,1.60293,0.006436,0.006436,0.006436
56,17658.7,1.74506,1.24875,1.54167,0.79381,0.70592,0.76881,0.33576,1.88436,1.19205,1.60649,0.00637,0.00637,0.00637
57,17969.7,1.72361,1.22872,1.51649,0.79384,0.70468,0.77308,0.34428,1.88095,1.16195,1.60015,0.006304,0.006304,0.006304
58,18280.4,1.7199,1.20756,1.51306,0.78973,0.71662,0.77914,0.35103,1.87019,1.1524,1.59002,0.006238,0.006238,0.006238
59,18591.7,1.72475,1.21396,1.51211,0.79499,0.72017,0.77047,0.35129,1.86839,1.13769,1.57983,0.006172,0.006172,0.006172
60,18903.8,1.70271,1.20639,1.50726,0.79116,0.71264,0.77042,0.34565,1.85707,1.13881,1.58066,0.006106,0.006106,0.006106
61,19216,1.69156,1.20202,1.49159,0.80088,0.72596,0.77696,0.34931,1.86003,1.13797,1.57828,0.00604,0.00604,0.00604
62,19528.2,1.7048,1.19553,1.50922,0.80453,0.72015,0.77564,0.35707,1.85872,1.11763,1.57272,0.005974,0.005974,0.005974
63,19840.1,1.70195,1.19957,1.51341,0.80013,0.72654,0.78307,0.36253,1.8571,1.10232,1.57893,0.005908,0.005908,0.005908
64,20152.4,1.67733,1.16892,1.49305,0.79163,0.72461,0.77938,0.36034,1.86528,1.10102,1.57831,0.005842,0.005842,0.005842
65,20463,1.68508,1.15815,1.49179,0.78351,0.73688,0.78258,0.35981,1.84603,1.11678,1.56807,0.005776,0.005776,0.005776
66,20776.3,1.68916,1.15918,1.4951,0.80246,0.73081,0.78277,0.36271,1.83188,1.09552,1.56811,0.00571,0.00571,0.00571
67,21087.4,1.67207,1.16105,1.48274,0.80113,0.73314,0.78231,0.36297,1.84464,1.0927,1.57489,0.005644,0.005644,0.005644
68,21399.4,1.67635,1.14407,1.48605,0.79595,0.73085,0.78777,0.36331,1.83726,1.08809,1.56955,0.005578,0.005578,0.005578
69,21711.2,1.67772,1.13886,1.48081,0.80253,0.74065,0.79278,0.36613,1.83952,1.08623,1.56781,0.005512,0.005512,0.005512
70,22022.8,1.66379,1.13721,1.46629,0.80163,0.7434,0.7891,0.36661,1.83309,1.10255,1.55311,0.005446,0.005446,0.005446
71,22334,1.64062,1.13177,1.45463,0.81122,0.74233,0.79153,0.36419,1.83758,1.08073,1.55636,0.00538,0.00538,0.00538
72,22646.8,1.64263,1.10183,1.45713,0.80705,0.74167,0.79244,0.36711,1.83433,1.07035,1.56489,0.005314,0.005314,0.005314
73,22958,1.65019,1.12897,1.46518,0.79461,0.73335,0.78263,0.36615,1.84781,1.08501,1.57076,0.005248,0.005248,0.005248
74,23268.6,1.6404,1.11433,1.46085,0.81361,0.73778,0.78716,0.36442,1.848,1.07861,1.57078,0.005182,0.005182,0.005182
75,23579.6,1.62921,1.08811,1.45041,0.80362,0.74515,0.78627,0.36278,1.84433,1.05745,1.56164,0.005116,0.005116,0.005116
76,23890.7,1.63015,1.0815,1.44032,0.81095,0.74844,0.79171,0.37042,1.83473,1.0488,1.55271,0.00505,0.00505,0.00505
77,24202.3,1.6214,1.07374,1.45353,0.8024,0.76047,0.79546,0.3726,1.82751,1.03967,1.54889,0.004984,0.004984,0.004984
78,24513.7,1.61542,1.07938,1.42975,0.81277,0.74909,0.80003,0.37484,1.82166,1.03333,1.55005,0.004918,0.004918,0.004918
79,24825.5,1.61817,1.07915,1.4433,0.8139,0.74977,0.79511,0.37395,1.82421,1.04887,1.55243,0.004852,0.004852,0.004852
80,25137.3,1.61411,1.06984,1.43569,0.81306,0.75384,0.79757,0.37611,1.82313,1.03764,1.54687,0.004786,0.004786,0.004786
81,25448.9,1.6175,1.05084,1.44226,0.81312,0.75274,0.79943,0.37518,1.82987,1.03767,1.55248,0.00472,0.00472,0.00472
82,25759.2,1.60369,1.06324,1.4366,0.8069,0.75177,0.80218,0.37525,1.83448,1.04965,1.55697,0.004654,0.004654,0.004654
83,26070.7,1.60194,1.06329,1.41627,0.81457,0.76113,0.8045,0.3762,1.84017,1.03921,1.55745,0.004588,0.004588,0.004588
84,26382.3,1.58789,1.05033,1.41921,0.81736,0.75319,0.80629,0.37711,1.84145,1.03146,1.56192,0.004522,0.004522,0.004522
85,26694.6,1.58939,1.04648,1.42582,0.81713,0.75947,0.80414,0.37974,1.84096,1.03731,1.55955,0.004456,0.004456,0.004456
86,27005.8,1.57129,1.04007,1.41576,0.82214,0.74956,0.80376,0.38046,1.82877,1.02567,1.55394,0.00439,0.00439,0.00439
87,27317.3,1.58223,1.03232,1.43334,0.80887,0.76081,0.80871,0.38613,1.82241,1.0182,1.55586,0.004324,0.004324,0.004324
88,27630,1.57889,1.02029,1.42202,0.82917,0.75475,0.8108,0.38455,1.83218,1.01595,1.56607,0.004258,0.004258,0.004258
89,27941.9,1.56241,1.02888,1.40574,0.80894,0.76765,0.81134,0.38426,1.82439,1.01654,1.56155,0.004192,0.004192,0.004192
90,28252.9,1.57017,1.02559,1.40293,0.81659,0.76382,0.81833,0.38628,1.81947,1.01841,1.55723,0.004126,0.004126,0.004126
91,28563.6,1.55571,1.01706,1.40216,0.82333,0.76054,0.81251,0.38643,1.81267,1.00739,1.54993,0.00406,0.00406,0.00406
92,28875.1,1.55408,1.02351,1.39931,0.81917,0.75349,0.81344,0.38769,1.80905,1.00727,1.54744,0.003994,0.003994,0.003994
93,29187.4,1.56442,1.00118,1.39442,0.82085,0.75376,0.81264,0.38827,1.81205,1.01195,1.54857,0.003928,0.003928,0.003928
94,29499.3,1.53437,0.99112,1.38793,0.82368,0.76269,0.81427,0.38746,1.80727,1.00609,1.54746,0.003862,0.003862,0.003862
95,29809.9,1.53426,0.98363,1.38196,0.81929,0.76733,0.81413,0.38957,1.80493,0.99737,1.54965,0.003796,0.003796,0.003796
96,30120.5,1.53425,0.98014,1.38901,0.81866,0.7677,0.81317,0.38913,1.79849,0.9935,1.54986,0.00373,0.00373,0.00373
97,30431.4,1.53803,0.98005,1.38657,0.81967,0.77087,0.81584,0.38748,1.80319,0.98787,1.55072,0.003664,0.003664,0.003664
98,30741.9,1.52757,0.99838,1.38981,0.8184,0.76564,0.81749,0.38993,1.80168,0.98929,1.5494,0.003598,0.003598,0.003598
99,31052.9,1.5211,0.96692,1.36776,0.8205,0.76725,0.81947,0.39106,1.79727,0.98102,1.54628,0.003532,0.003532,0.003532
100,31361.8,1.53299,0.97752,1.3701,0.81692,0.76799,0.81758,0.39249,1.79213,0.98322,1.53983,0.003466,0.003466,0.003466
101,31671.6,1.50219,0.96021,1.36856,0.80166,0.77377,0.81503,0.3913,1.7884,0.98159,1.53707,0.0034,0.0034,0.0034
102,31982.1,1.49568,0.95114,1.36777,0.80352,0.77468,0.81567,0.39301,1.78404,0.98442,1.5371,0.003334,0.003334,0.003334
103,32293.2,1.49514,0.94457,1.36829,0.80789,0.77391,0.8148,0.39286,1.78441,0.98287,1.53778,0.003268,0.003268,0.003268
104,32603.5,1.49412,0.94189,1.35519,0.81874,0.7706,0.81781,0.39323,1.78777,0.98429,1.53928,0.003202,0.003202,0.003202
105,32914,1.49084,0.94291,1.35207,0.82294,0.76734,0.81476,0.39328,1.78615,0.98341,1.53644,0.003136,0.003136,0.003136
106,33224.4,1.48976,0.94655,1.34765,0.82031,0.77256,0.81587,0.39373,1.7856,0.97824,1.53428,0.00307,0.00307,0.00307
107,33535.2,1.48904,0.94083,1.34671,0.81834,0.77044,0.81669,0.39402,1.78592,0.97052,1.53181,0.003004,0.003004,0.003004
108,33845.8,1.46363,0.93209,1.33186,0.82366,0.7713,0.81716,0.39498,1.78334,0.97235,1.53062,0.002938,0.002938,0.002938
109,34158.2,1.46061,0.92798,1.33344,0.82735,0.77153,0.8175,0.39537,1.78247,0.97727,1.52874,0.002872,0.002872,0.002872
110,34479.6,1.47137,0.91919,1.34674,0.82477,0.77105,0.8151,0.39542,1.77563,0.97569,1.52686,0.002806,0.002806,0.002806
111,34793.5,1.47149,0.92774,1.33655,0.82912,0.77154,0.817,0.39758,1.77455,0.97568,1.52715,0.00274,0.00274,0.00274
112,35109,1.46928,0.91248,1.33295,0.82329,0.77329,0.8181,0.39879,1.77435,0.97014,1.52902,0.002674,0.002674,0.002674
113,35423.7,1.44636,0.90154,1.33408,0.82193,0.77597,0.81921,0.40006,1.77592,0.96963,1.53099,0.002608,0.002608,0.002608
